#file for arcs using the same infrastructure in the sense that activities (i,j) and (i_bar, j_bar) occupy the same underlying infrastructure
i,j,i_bar,j_bar
BTP_572_B-6-2-1-arr-left,BTP_572_B-6-2-1-dep-left,BTP_572_B-7-2-1-arr-right,BTP_572_B-7-2-1-dep-right
BTP_572_B-6-2-1-arr-left,BTP_572_B-6-2-1-dep-left,BTP_572_B-396-1-1-arr-left,BTP_572_B-396-1-1-dep-left
BTP_572_B-6-2-1-arr-left,BTP_572_B-6-2-1-dep-left,BTP_572_B-396-1-2-arr-right,BTP_572_B-396-1-2-dep-right
BTP_572_B-7-2-1-arr-right,BTP_572_B-7-2-1-dep-right,BTP_572_B-396-1-1-arr-left,BTP_572_B-396-1-1-dep-left
BTP_572_B-7-2-1-arr-right,BTP_572_B-7-2-1-dep-right,BTP_572_B-396-1-2-arr-right,BTP_572_B-396-1-2-dep-right
BTP_572_B-396-1-1-arr-left,BTP_572_B-396-1-1-dep-left,BTP_572_B-396-1-2-arr-right,BTP_572_B-396-1-2-dep-right
BTP_574_B-6-2-1-arr-left,BTP_574_B-6-2-1-dep-left,BTP_574_B-6-1-1-arr-left,BTP_574_B-6-1-1-dep-left
BTP_574_B-6-2-1-arr-left,BTP_574_B-6-2-1-dep-left,BTP_574_B-396-1-1-arr-left,BTP_574_B-396-1-1-dep-left
BTP_574_B-6-2-1-arr-left,BTP_574_B-6-2-1-dep-left,BTP_574_B-571-1-1-arr-right,BTP_574_B-571-1-1-dep-right
BTP_574_B-6-2-1-arr-left,BTP_574_B-6-2-1-dep-left,BTP_574_B-566-1-2-arr-right,BTP_574_B-566-1-2-dep-right
BTP_574_B-6-2-1-arr-left,BTP_574_B-6-2-1-dep-left,BTP_574_B-379-1-1-arr-left,BTP_574_B-379-1-1-dep-left
BTP_574_B-6-1-1-arr-left,BTP_574_B-6-1-1-dep-left,BTP_574_B-396-1-1-arr-left,BTP_574_B-396-1-1-dep-left
BTP_574_B-6-1-1-arr-left,BTP_574_B-6-1-1-dep-left,BTP_574_B-571-1-1-arr-right,BTP_574_B-571-1-1-dep-right
BTP_574_B-6-1-1-arr-left,BTP_574_B-6-1-1-dep-left,BTP_574_B-566-1-2-arr-right,BTP_574_B-566-1-2-dep-right
BTP_574_B-6-1-1-arr-left,BTP_574_B-6-1-1-dep-left,BTP_574_B-379-1-1-arr-left,BTP_574_B-379-1-1-dep-left
BTP_574_B-396-1-1-arr-left,BTP_574_B-396-1-1-dep-left,BTP_574_B-571-1-1-arr-right,BTP_574_B-571-1-1-dep-right
BTP_574_B-396-1-1-arr-left,BTP_574_B-396-1-1-dep-left,BTP_574_B-566-1-2-arr-right,BTP_574_B-566-1-2-dep-right
BTP_574_B-396-1-1-arr-left,BTP_574_B-396-1-1-dep-left,BTP_574_B-379-1-1-arr-left,BTP_574_B-379-1-1-dep-left
BTP_574_B-571-1-1-arr-right,BTP_574_B-571-1-1-dep-right,BTP_574_B-566-1-2-arr-right,BTP_574_B-566-1-2-dep-right
BTP_574_B-571-1-1-arr-right,BTP_574_B-571-1-1-dep-right,BTP_574_B-379-1-1-arr-left,BTP_574_B-379-1-1-dep-left
BTP_574_B-566-1-2-arr-right,BTP_574_B-566-1-2-dep-right,BTP_574_B-379-1-1-arr-left,BTP_574_B-379-1-1-dep-left
BTP_573_B-6-2-1-arr-right,BTP_573_B-6-2-1-dep-right,BTP_573_B-396-1-1-arr-right,BTP_573_B-396-1-1-dep-right
BTP_573_B-6-2-1-arr-right,BTP_573_B-6-2-1-dep-right,BTP_573_B-6-1-1-arr-right,BTP_573_B-6-1-1-dep-right
BTP_573_B-6-2-1-arr-right,BTP_573_B-6-2-1-dep-right,BTP_573_B-379-1-1-arr-right,BTP_573_B-379-1-1-dep-right
BTP_573_B-6-2-1-arr-right,BTP_573_B-6-2-1-dep-right,BTP_573_B-566-1-1-arr-right,BTP_573_B-566-1-1-dep-right
BTP_573_B-396-1-1-arr-right,BTP_573_B-396-1-1-dep-right,BTP_573_B-6-1-1-arr-right,BTP_573_B-6-1-1-dep-right
BTP_573_B-396-1-1-arr-right,BTP_573_B-396-1-1-dep-right,BTP_573_B-379-1-1-arr-right,BTP_573_B-379-1-1-dep-right
BTP_573_B-396-1-1-arr-right,BTP_573_B-396-1-1-dep-right,BTP_573_B-566-1-1-arr-right,BTP_573_B-566-1-1-dep-right
BTP_573_B-6-1-1-arr-right,BTP_573_B-6-1-1-dep-right,BTP_573_B-379-1-1-arr-right,BTP_573_B-379-1-1-dep-right
BTP_573_B-6-1-1-arr-right,BTP_573_B-6-1-1-dep-right,BTP_573_B-566-1-1-arr-right,BTP_573_B-566-1-1-dep-right
BTP_573_B-379-1-1-arr-right,BTP_573_B-379-1-1-dep-right,BTP_573_B-566-1-1-arr-right,BTP_573_B-566-1-1-dep-right
BSO_401_B-6-2-1-arr-right,BSO_401_B-6-2-1-dep-right,BSO_401_B-396-1-1-arr-right,BSO_401_B-396-1-1-dep-right
BSO_401_B-6-2-1-arr-right,BSO_401_B-6-2-1-dep-right,BSO_401_B-379-1-1-arr-right,BSO_401_B-379-1-1-dep-right
BSO_401_B-6-2-1-arr-right,BSO_401_B-6-2-1-dep-right,BSO_401_B-6-1-1-arr-right,BSO_401_B-6-1-1-dep-right
BSO_401_B-396-1-1-arr-right,BSO_401_B-396-1-1-dep-right,BSO_401_B-379-1-1-arr-right,BSO_401_B-379-1-1-dep-right
BSO_401_B-396-1-1-arr-right,BSO_401_B-396-1-1-dep-right,BSO_401_B-6-1-1-arr-right,BSO_401_B-6-1-1-dep-right
BSO_401_B-379-1-1-arr-right,BSO_401_B-379-1-1-dep-right,BSO_401_B-6-1-1-arr-right,BSO_401_B-6-1-1-dep-right
BNK_461_B-379-1-1-arr-right,BNK_461_B-379-1-1-dep-right,BNK_461_B-6-2-1-arr-right,BNK_461_B-6-2-1-dep-right
BNK_461_B-379-1-1-arr-right,BNK_461_B-379-1-1-dep-right,BNK_461_B-486-1-1-arr-right,BNK_461_B-486-1-1-dep-right
BNK_461_B-379-1-1-arr-right,BNK_461_B-379-1-1-dep-right,BNK_461_B-396-1-1-arr-right,BNK_461_B-396-1-1-dep-right
BNK_461_B-379-1-1-arr-right,BNK_461_B-379-1-1-dep-right,BNK_461_B-6-1-1-arr-right,BNK_461_B-6-1-1-dep-right
BNK_461_B-379-1-1-arr-right,BNK_461_B-379-1-1-dep-right,BNK_461_B-489-1-1-arr-right,BNK_461_B-489-1-1-dep-right
BNK_461_B-6-2-1-arr-right,BNK_461_B-6-2-1-dep-right,BNK_461_B-486-1-1-arr-right,BNK_461_B-486-1-1-dep-right
BNK_461_B-6-2-1-arr-right,BNK_461_B-6-2-1-dep-right,BNK_461_B-396-1-1-arr-right,BNK_461_B-396-1-1-dep-right
BNK_461_B-6-2-1-arr-right,BNK_461_B-6-2-1-dep-right,BNK_461_B-6-1-1-arr-right,BNK_461_B-6-1-1-dep-right
BNK_461_B-6-2-1-arr-right,BNK_461_B-6-2-1-dep-right,BNK_461_B-489-1-1-arr-right,BNK_461_B-489-1-1-dep-right
BNK_461_B-486-1-1-arr-right,BNK_461_B-486-1-1-dep-right,BNK_461_B-396-1-1-arr-right,BNK_461_B-396-1-1-dep-right
BNK_461_B-486-1-1-arr-right,BNK_461_B-486-1-1-dep-right,BNK_461_B-6-1-1-arr-right,BNK_461_B-6-1-1-dep-right
BNK_461_B-486-1-1-arr-right,BNK_461_B-486-1-1-dep-right,BNK_461_B-489-1-1-arr-right,BNK_461_B-489-1-1-dep-right
BNK_461_B-396-1-1-arr-right,BNK_461_B-396-1-1-dep-right,BNK_461_B-6-1-1-arr-right,BNK_461_B-6-1-1-dep-right
BNK_461_B-396-1-1-arr-right,BNK_461_B-396-1-1-dep-right,BNK_461_B-489-1-1-arr-right,BNK_461_B-489-1-1-dep-right
BNK_461_B-6-1-1-arr-right,BNK_461_B-6-1-1-dep-right,BNK_461_B-489-1-1-arr-right,BNK_461_B-489-1-1-dep-right
BHER_471_B-6-1-1-arr-right,BHER_471_B-6-1-1-dep-right,BHER_471_B-379-1-12-arr-right,BHER_471_B-379-1-12-dep-right
BHER_471_B-6-1-1-arr-right,BHER_471_B-6-1-1-dep-right,BHER_471_B-6-2-1-arr-right,BHER_471_B-6-2-1-dep-right
BHER_471_B-6-1-1-arr-right,BHER_471_B-6-1-1-dep-right,BHER_471_B-396-1-1-arr-right,BHER_471_B-396-1-1-dep-right
BHER_471_B-6-1-1-arr-right,BHER_471_B-6-1-1-dep-right,BHER_471_B-486-1-1-arr-right,BHER_471_B-486-1-1-dep-right
BHER_471_B-6-1-1-arr-right,BHER_471_B-6-1-1-dep-right,BHER_471_B-489-1-1-arr-right,BHER_471_B-489-1-1-dep-right
BHER_471_B-379-1-12-arr-right,BHER_471_B-379-1-12-dep-right,BHER_471_B-6-2-1-arr-right,BHER_471_B-6-2-1-dep-right
BHER_471_B-379-1-12-arr-right,BHER_471_B-379-1-12-dep-right,BHER_471_B-396-1-1-arr-right,BHER_471_B-396-1-1-dep-right
BHER_471_B-379-1-12-arr-right,BHER_471_B-379-1-12-dep-right,BHER_471_B-486-1-1-arr-right,BHER_471_B-486-1-1-dep-right
BHER_471_B-379-1-12-arr-right,BHER_471_B-379-1-12-dep-right,BHER_471_B-489-1-1-arr-right,BHER_471_B-489-1-1-dep-right
BHER_471_B-6-2-1-arr-right,BHER_471_B-6-2-1-dep-right,BHER_471_B-396-1-1-arr-right,BHER_471_B-396-1-1-dep-right
BHER_471_B-6-2-1-arr-right,BHER_471_B-6-2-1-dep-right,BHER_471_B-486-1-1-arr-right,BHER_471_B-486-1-1-dep-right
BHER_471_B-6-2-1-arr-right,BHER_471_B-6-2-1-dep-right,BHER_471_B-489-1-1-arr-right,BHER_471_B-489-1-1-dep-right
BHER_471_B-396-1-1-arr-right,BHER_471_B-396-1-1-dep-right,BHER_471_B-486-1-1-arr-right,BHER_471_B-486-1-1-dep-right
BHER_471_B-396-1-1-arr-right,BHER_471_B-396-1-1-dep-right,BHER_471_B-489-1-1-arr-right,BHER_471_B-489-1-1-dep-right
BHER_471_B-486-1-1-arr-right,BHER_471_B-486-1-1-dep-right,BHER_471_B-489-1-1-arr-right,BHER_471_B-489-1-1-dep-right
BTHF_511_B-6-2-1-arr-right,BTHF_511_B-6-2-1-dep-right,BTHF_511_B-489-1-12-arr-left,BTHF_511_B-489-1-12-dep-left
BTHF_511_B-6-2-1-arr-right,BTHF_511_B-6-2-1-dep-right,BTHF_511_B-6-1-1-arr-right,BTHF_511_B-6-1-1-dep-right
BTHF_511_B-6-2-1-arr-right,BTHF_511_B-6-2-1-dep-right,BTHF_511_B-486-1-1-arr-right,BTHF_511_B-486-1-1-dep-right
BTHF_511_B-6-2-1-arr-right,BTHF_511_B-6-2-1-dep-right,BTHF_511_B-489-1-12-arr-right,BTHF_511_B-489-1-12-dep-right
BTHF_511_B-6-2-1-arr-right,BTHF_511_B-6-2-1-dep-right,BTHF_511_B-489-1-12-arr-right,BTHF_511_B-489-1-12-dep-left
BTHF_511_B-6-2-1-arr-right,BTHF_511_B-6-2-1-dep-right,BTHF_511_B-396-1-1-arr-right,BTHF_511_B-396-1-1-dep-right
BTHF_511_B-489-1-12-arr-left,BTHF_511_B-489-1-12-dep-left,BTHF_511_B-6-1-1-arr-right,BTHF_511_B-6-1-1-dep-right
BTHF_511_B-489-1-12-arr-left,BTHF_511_B-489-1-12-dep-left,BTHF_511_B-486-1-1-arr-right,BTHF_511_B-486-1-1-dep-right
BTHF_511_B-489-1-12-arr-left,BTHF_511_B-489-1-12-dep-left,BTHF_511_B-489-1-12-arr-right,BTHF_511_B-489-1-12-dep-right
BTHF_511_B-489-1-12-arr-left,BTHF_511_B-489-1-12-dep-left,BTHF_511_B-489-1-12-arr-right,BTHF_511_B-489-1-12-dep-left
BTHF_511_B-489-1-12-arr-left,BTHF_511_B-489-1-12-dep-left,BTHF_511_B-396-1-1-arr-right,BTHF_511_B-396-1-1-dep-right
BTHF_511_B-6-1-1-arr-right,BTHF_511_B-6-1-1-dep-right,BTHF_511_B-486-1-1-arr-right,BTHF_511_B-486-1-1-dep-right
BTHF_511_B-6-1-1-arr-right,BTHF_511_B-6-1-1-dep-right,BTHF_511_B-489-1-12-arr-right,BTHF_511_B-489-1-12-dep-right
BTHF_511_B-6-1-1-arr-right,BTHF_511_B-6-1-1-dep-right,BTHF_511_B-489-1-12-arr-right,BTHF_511_B-489-1-12-dep-left
BTHF_511_B-6-1-1-arr-right,BTHF_511_B-6-1-1-dep-right,BTHF_511_B-396-1-1-arr-right,BTHF_511_B-396-1-1-dep-right
BTHF_511_B-486-1-1-arr-right,BTHF_511_B-486-1-1-dep-right,BTHF_511_B-489-1-12-arr-right,BTHF_511_B-489-1-12-dep-right
BTHF_511_B-486-1-1-arr-right,BTHF_511_B-486-1-1-dep-right,BTHF_511_B-489-1-12-arr-right,BTHF_511_B-489-1-12-dep-left
BTHF_511_B-486-1-1-arr-right,BTHF_511_B-486-1-1-dep-right,BTHF_511_B-396-1-1-arr-right,BTHF_511_B-396-1-1-dep-right
BTHF_511_B-489-1-12-arr-right,BTHF_511_B-489-1-12-dep-right,BTHF_511_B-489-1-12-arr-right,BTHF_511_B-489-1-12-dep-left
BTHF_511_B-489-1-12-arr-right,BTHF_511_B-489-1-12-dep-right,BTHF_511_B-396-1-1-arr-right,BTHF_511_B-396-1-1-dep-right
BTHF_511_B-489-1-12-arr-right,BTHF_511_B-489-1-12-dep-left,BTHF_511_B-396-1-1-arr-right,BTHF_511_B-396-1-1-dep-right
BSKR_531_B-396-1-12-arr-right,BSKR_531_B-396-1-12-dep-left,BSKR_531_B-396-1-12-arr-left,BSKR_531_B-396-1-12-dep-left
BSKR_531_B-396-1-12-arr-right,BSKR_531_B-396-1-12-dep-left,BSKR_531_B-486-1-12-arr-right,BSKR_531_B-486-1-12-dep-right
BSKR_531_B-396-1-12-arr-right,BSKR_531_B-396-1-12-dep-left,BSKR_531_B-396-1-12-arr-right,BSKR_531_B-396-1-12-dep-right
BSKR_531_B-396-1-12-arr-right,BSKR_531_B-396-1-12-dep-left,BSKR_531_B-6-1-1-arr-right,BSKR_531_B-6-1-1-dep-right
BSKR_531_B-396-1-12-arr-right,BSKR_531_B-396-1-12-dep-left,BSKR_531_B-6-2-1-arr-right,BSKR_531_B-6-2-1-dep-right
BSKR_531_B-396-1-12-arr-right,BSKR_531_B-396-1-12-dep-left,BSKR_531_B-486-1-12-arr-right,BSKR_531_B-486-1-12-dep-left
BSKR_531_B-396-1-12-arr-right,BSKR_531_B-396-1-12-dep-left,BSKR_531_B-486-1-12-arr-left,BSKR_531_B-486-1-12-dep-left
BSKR_531_B-396-1-12-arr-left,BSKR_531_B-396-1-12-dep-left,BSKR_531_B-486-1-12-arr-right,BSKR_531_B-486-1-12-dep-right
BSKR_531_B-396-1-12-arr-left,BSKR_531_B-396-1-12-dep-left,BSKR_531_B-396-1-12-arr-right,BSKR_531_B-396-1-12-dep-right
BSKR_531_B-396-1-12-arr-left,BSKR_531_B-396-1-12-dep-left,BSKR_531_B-6-1-1-arr-right,BSKR_531_B-6-1-1-dep-right
BSKR_531_B-396-1-12-arr-left,BSKR_531_B-396-1-12-dep-left,BSKR_531_B-6-2-1-arr-right,BSKR_531_B-6-2-1-dep-right
BSKR_531_B-396-1-12-arr-left,BSKR_531_B-396-1-12-dep-left,BSKR_531_B-486-1-12-arr-right,BSKR_531_B-486-1-12-dep-left
BSKR_531_B-396-1-12-arr-left,BSKR_531_B-396-1-12-dep-left,BSKR_531_B-486-1-12-arr-left,BSKR_531_B-486-1-12-dep-left
BSKR_531_B-486-1-12-arr-right,BSKR_531_B-486-1-12-dep-right,BSKR_531_B-396-1-12-arr-right,BSKR_531_B-396-1-12-dep-right
BSKR_531_B-486-1-12-arr-right,BSKR_531_B-486-1-12-dep-right,BSKR_531_B-6-1-1-arr-right,BSKR_531_B-6-1-1-dep-right
BSKR_531_B-486-1-12-arr-right,BSKR_531_B-486-1-12-dep-right,BSKR_531_B-6-2-1-arr-right,BSKR_531_B-6-2-1-dep-right
BSKR_531_B-486-1-12-arr-right,BSKR_531_B-486-1-12-dep-right,BSKR_531_B-486-1-12-arr-right,BSKR_531_B-486-1-12-dep-left
BSKR_531_B-486-1-12-arr-right,BSKR_531_B-486-1-12-dep-right,BSKR_531_B-486-1-12-arr-left,BSKR_531_B-486-1-12-dep-left
BSKR_531_B-396-1-12-arr-right,BSKR_531_B-396-1-12-dep-right,BSKR_531_B-6-1-1-arr-right,BSKR_531_B-6-1-1-dep-right
BSKR_531_B-396-1-12-arr-right,BSKR_531_B-396-1-12-dep-right,BSKR_531_B-6-2-1-arr-right,BSKR_531_B-6-2-1-dep-right
BSKR_531_B-396-1-12-arr-right,BSKR_531_B-396-1-12-dep-right,BSKR_531_B-486-1-12-arr-right,BSKR_531_B-486-1-12-dep-left
BSKR_531_B-396-1-12-arr-right,BSKR_531_B-396-1-12-dep-right,BSKR_531_B-486-1-12-arr-left,BSKR_531_B-486-1-12-dep-left
BSKR_531_B-6-1-1-arr-right,BSKR_531_B-6-1-1-dep-right,BSKR_531_B-6-2-1-arr-right,BSKR_531_B-6-2-1-dep-right
BSKR_531_B-6-1-1-arr-right,BSKR_531_B-6-1-1-dep-right,BSKR_531_B-486-1-12-arr-right,BSKR_531_B-486-1-12-dep-left
BSKR_531_B-6-1-1-arr-right,BSKR_531_B-6-1-1-dep-right,BSKR_531_B-486-1-12-arr-left,BSKR_531_B-486-1-12-dep-left
BSKR_531_B-6-2-1-arr-right,BSKR_531_B-6-2-1-dep-right,BSKR_531_B-486-1-12-arr-right,BSKR_531_B-486-1-12-dep-left
BSKR_531_B-6-2-1-arr-right,BSKR_531_B-6-2-1-dep-right,BSKR_531_B-486-1-12-arr-left,BSKR_531_B-486-1-12-dep-left
BSKR_531_B-486-1-12-arr-right,BSKR_531_B-486-1-12-dep-left,BSKR_531_B-486-1-12-arr-left,BSKR_531_B-486-1-12-dep-left
BSGR_601_B-6-1-1-arr-right,BSGR_601_B-6-1-1-dep-right,BSGR_601_B-6-2-1-arr-right,BSGR_601_B-6-2-1-dep-right
BIP_611_B-7-1-1-arr-left,BIP_611_B-7-1-1-dep-left,BIP_611_B-6-2-1-arr-right,BIP_611_B-6-2-1-dep-right
BIP_611_B-7-1-1-arr-left,BIP_611_B-7-1-1-dep-left,BIP_611_B-6-1-1-arr-right,BIP_611_B-6-1-1-dep-right
BIP_611_B-7-1-1-arr-left,BIP_611_B-7-1-1-dep-left,BIP_611_B-7-2-1-arr-left,BIP_611_B-7-2-1-dep-left
BIP_611_B-6-2-1-arr-right,BIP_611_B-6-2-1-dep-right,BIP_611_B-6-1-1-arr-right,BIP_611_B-6-1-1-dep-right
BIP_611_B-6-2-1-arr-right,BIP_611_B-6-2-1-dep-right,BIP_611_B-7-2-1-arr-left,BIP_611_B-7-2-1-dep-left
BIP_611_B-6-1-1-arr-right,BIP_611_B-6-1-1-dep-right,BIP_611_B-7-2-1-arr-left,BIP_611_B-7-2-1-dep-left
BSGR_602_B-7-2-1-arr-right,BSGR_602_B-7-2-1-dep-right,BSGR_602_B-7-1-1-arr-right,BSGR_602_B-7-1-1-dep-right
BSKR_532_B-396-1-12-arr-right,BSKR_532_B-396-1-12-dep-right,BSKR_532_B-7-1-1-arr-right,BSKR_532_B-7-1-1-dep-right
BSKR_532_B-396-1-12-arr-right,BSKR_532_B-396-1-12-dep-right,BSKR_532_B-486-1-12-arr-left,BSKR_532_B-486-1-12-dep-right
BSKR_532_B-396-1-12-arr-right,BSKR_532_B-396-1-12-dep-right,BSKR_532_B-7-2-1-arr-right,BSKR_532_B-7-2-1-dep-right
BSKR_532_B-396-1-12-arr-right,BSKR_532_B-396-1-12-dep-right,BSKR_532_B-486-1-12-arr-right,BSKR_532_B-486-1-12-dep-right
BSKR_532_B-396-1-12-arr-right,BSKR_532_B-396-1-12-dep-right,BSKR_532_B-396-1-12-arr-left,BSKR_532_B-396-1-12-dep-right
BSKR_532_B-396-1-12-arr-right,BSKR_532_B-396-1-12-dep-right,BSKR_532_B-486-1-12-arr-left,BSKR_532_B-486-1-12-dep-left
BSKR_532_B-396-1-12-arr-right,BSKR_532_B-396-1-12-dep-right,BSKR_532_B-396-1-12-arr-left,BSKR_532_B-396-1-12-dep-left
BSKR_532_B-7-1-1-arr-right,BSKR_532_B-7-1-1-dep-right,BSKR_532_B-486-1-12-arr-left,BSKR_532_B-486-1-12-dep-right
BSKR_532_B-7-1-1-arr-right,BSKR_532_B-7-1-1-dep-right,BSKR_532_B-7-2-1-arr-right,BSKR_532_B-7-2-1-dep-right
BSKR_532_B-7-1-1-arr-right,BSKR_532_B-7-1-1-dep-right,BSKR_532_B-486-1-12-arr-right,BSKR_532_B-486-1-12-dep-right
BSKR_532_B-7-1-1-arr-right,BSKR_532_B-7-1-1-dep-right,BSKR_532_B-396-1-12-arr-left,BSKR_532_B-396-1-12-dep-right
BSKR_532_B-7-1-1-arr-right,BSKR_532_B-7-1-1-dep-right,BSKR_532_B-486-1-12-arr-left,BSKR_532_B-486-1-12-dep-left
BSKR_532_B-7-1-1-arr-right,BSKR_532_B-7-1-1-dep-right,BSKR_532_B-396-1-12-arr-left,BSKR_532_B-396-1-12-dep-left
BSKR_532_B-486-1-12-arr-left,BSKR_532_B-486-1-12-dep-right,BSKR_532_B-7-2-1-arr-right,BSKR_532_B-7-2-1-dep-right
BSKR_532_B-486-1-12-arr-left,BSKR_532_B-486-1-12-dep-right,BSKR_532_B-486-1-12-arr-right,BSKR_532_B-486-1-12-dep-right
BSKR_532_B-486-1-12-arr-left,BSKR_532_B-486-1-12-dep-right,BSKR_532_B-396-1-12-arr-left,BSKR_532_B-396-1-12-dep-right
BSKR_532_B-486-1-12-arr-left,BSKR_532_B-486-1-12-dep-right,BSKR_532_B-486-1-12-arr-left,BSKR_532_B-486-1-12-dep-left
BSKR_532_B-486-1-12-arr-left,BSKR_532_B-486-1-12-dep-right,BSKR_532_B-396-1-12-arr-left,BSKR_532_B-396-1-12-dep-left
BSKR_532_B-7-2-1-arr-right,BSKR_532_B-7-2-1-dep-right,BSKR_532_B-486-1-12-arr-right,BSKR_532_B-486-1-12-dep-right
BSKR_532_B-7-2-1-arr-right,BSKR_532_B-7-2-1-dep-right,BSKR_532_B-396-1-12-arr-left,BSKR_532_B-396-1-12-dep-right
BSKR_532_B-7-2-1-arr-right,BSKR_532_B-7-2-1-dep-right,BSKR_532_B-486-1-12-arr-left,BSKR_532_B-486-1-12-dep-left
BSKR_532_B-7-2-1-arr-right,BSKR_532_B-7-2-1-dep-right,BSKR_532_B-396-1-12-arr-left,BSKR_532_B-396-1-12-dep-left
BSKR_532_B-486-1-12-arr-right,BSKR_532_B-486-1-12-dep-right,BSKR_532_B-396-1-12-arr-left,BSKR_532_B-396-1-12-dep-right
BSKR_532_B-486-1-12-arr-right,BSKR_532_B-486-1-12-dep-right,BSKR_532_B-486-1-12-arr-left,BSKR_532_B-486-1-12-dep-left
BSKR_532_B-486-1-12-arr-right,BSKR_532_B-486-1-12-dep-right,BSKR_532_B-396-1-12-arr-left,BSKR_532_B-396-1-12-dep-left
BSKR_532_B-396-1-12-arr-left,BSKR_532_B-396-1-12-dep-right,BSKR_532_B-486-1-12-arr-left,BSKR_532_B-486-1-12-dep-left
BSKR_532_B-396-1-12-arr-left,BSKR_532_B-396-1-12-dep-right,BSKR_532_B-396-1-12-arr-left,BSKR_532_B-396-1-12-dep-left
BSKR_532_B-486-1-12-arr-left,BSKR_532_B-486-1-12-dep-left,BSKR_532_B-396-1-12-arr-left,BSKR_532_B-396-1-12-dep-left
BTHF_512_B-489-1-12-arr-right,BTHF_512_B-489-1-12-dep-right,BTHF_512_B-396-1-2-arr-right,BTHF_512_B-396-1-2-dep-right
BTHF_512_B-489-1-12-arr-right,BTHF_512_B-489-1-12-dep-right,BTHF_512_B-489-1-12-arr-left,BTHF_512_B-489-1-12-dep-right
BTHF_512_B-489-1-12-arr-right,BTHF_512_B-489-1-12-dep-right,BTHF_512_B-486-1-2-arr-right,BTHF_512_B-486-1-2-dep-right
BTHF_512_B-489-1-12-arr-right,BTHF_512_B-489-1-12-dep-right,BTHF_512_B-7-2-1-arr-right,BTHF_512_B-7-2-1-dep-right
BTHF_512_B-489-1-12-arr-right,BTHF_512_B-489-1-12-dep-right,BTHF_512_B-7-1-1-arr-right,BTHF_512_B-7-1-1-dep-right
BTHF_512_B-489-1-12-arr-right,BTHF_512_B-489-1-12-dep-right,BTHF_512_B-489-1-12-arr-left,BTHF_512_B-489-1-12-dep-left
BTHF_512_B-396-1-2-arr-right,BTHF_512_B-396-1-2-dep-right,BTHF_512_B-489-1-12-arr-left,BTHF_512_B-489-1-12-dep-right
BTHF_512_B-396-1-2-arr-right,BTHF_512_B-396-1-2-dep-right,BTHF_512_B-486-1-2-arr-right,BTHF_512_B-486-1-2-dep-right
BTHF_512_B-396-1-2-arr-right,BTHF_512_B-396-1-2-dep-right,BTHF_512_B-7-2-1-arr-right,BTHF_512_B-7-2-1-dep-right
BTHF_512_B-396-1-2-arr-right,BTHF_512_B-396-1-2-dep-right,BTHF_512_B-7-1-1-arr-right,BTHF_512_B-7-1-1-dep-right
BTHF_512_B-396-1-2-arr-right,BTHF_512_B-396-1-2-dep-right,BTHF_512_B-489-1-12-arr-left,BTHF_512_B-489-1-12-dep-left
BTHF_512_B-489-1-12-arr-left,BTHF_512_B-489-1-12-dep-right,BTHF_512_B-486-1-2-arr-right,BTHF_512_B-486-1-2-dep-right
BTHF_512_B-489-1-12-arr-left,BTHF_512_B-489-1-12-dep-right,BTHF_512_B-7-2-1-arr-right,BTHF_512_B-7-2-1-dep-right
BTHF_512_B-489-1-12-arr-left,BTHF_512_B-489-1-12-dep-right,BTHF_512_B-7-1-1-arr-right,BTHF_512_B-7-1-1-dep-right
BTHF_512_B-489-1-12-arr-left,BTHF_512_B-489-1-12-dep-right,BTHF_512_B-489-1-12-arr-left,BTHF_512_B-489-1-12-dep-left
BTHF_512_B-486-1-2-arr-right,BTHF_512_B-486-1-2-dep-right,BTHF_512_B-7-2-1-arr-right,BTHF_512_B-7-2-1-dep-right
BTHF_512_B-486-1-2-arr-right,BTHF_512_B-486-1-2-dep-right,BTHF_512_B-7-1-1-arr-right,BTHF_512_B-7-1-1-dep-right
BTHF_512_B-486-1-2-arr-right,BTHF_512_B-486-1-2-dep-right,BTHF_512_B-489-1-12-arr-left,BTHF_512_B-489-1-12-dep-left
BTHF_512_B-7-2-1-arr-right,BTHF_512_B-7-2-1-dep-right,BTHF_512_B-7-1-1-arr-right,BTHF_512_B-7-1-1-dep-right
BTHF_512_B-7-2-1-arr-right,BTHF_512_B-7-2-1-dep-right,BTHF_512_B-489-1-12-arr-left,BTHF_512_B-489-1-12-dep-left
BTHF_512_B-7-1-1-arr-right,BTHF_512_B-7-1-1-dep-right,BTHF_512_B-489-1-12-arr-left,BTHF_512_B-489-1-12-dep-left
BHER_472_B-396-1-2-arr-right,BHER_472_B-396-1-2-dep-right,BHER_472_B-7-2-1-arr-right,BHER_472_B-7-2-1-dep-right
BHER_472_B-396-1-2-arr-right,BHER_472_B-396-1-2-dep-right,BHER_472_B-486-1-2-arr-right,BHER_472_B-486-1-2-dep-right
BHER_472_B-396-1-2-arr-right,BHER_472_B-396-1-2-dep-right,BHER_472_B-489-1-2-arr-right,BHER_472_B-489-1-2-dep-right
BHER_472_B-396-1-2-arr-right,BHER_472_B-396-1-2-dep-right,BHER_472_B-7-1-1-arr-right,BHER_472_B-7-1-1-dep-right
BHER_472_B-396-1-2-arr-right,BHER_472_B-396-1-2-dep-right,BHER_472_B-379-1-12-arr-right,BHER_472_B-379-1-12-dep-right
